controlCategory,controlType,controlPeriodocity,control,controlID
NA,Semi-automatic,0.1,Check the correct and complete census of the Logical Horizontal Data Lineage,321
NA,Semi-automatic,0.1,Check the correct and complete census of the Vertical Data Lineage,1844
NA,Semi-automatic,0.1,Check the correct and complete census of the Physical Horizontal Data Lineage,1843
NA,Semi-automatic,0.1,Check the correct labeling of the Key Data Elements,2446
NA,Semi-automatic,0.1,Check the correct and complete census of the Technical Assets,2448
NA,Semi-automatic,0.1,Check the correct and complete dictionarization of the Business Terms,2447
Operational,NA,,Perform sampling checks for shipping notices,266
Operational,NA,,Carry out sampling checks on shipping notices,4662
Operational,NA,,Carry out random checks on shipping notices,1702
NA,Manual,0.1,Check the completeness of the documentation,4001
NA,Manual,0.1,Verify the correctness of the response to be sent to the requesting Authority.,4000
NA,Manual,0.1,Check the completeness of the documentation,1985
Operational,Manual,0.1,Check documentation,2282
NA,Manual,0.1,Verify conditions for accrual to risk funds,4836
NA,Manual,0.1,Evaluate threshold crossing,702
NA,Manual,0.1,Verify the completeness and correctness of the information to the reference Management Committee of the <soft limit> indicator (orange area),1128
NA,Manual,0.1,Check documentation,26
NA,Manual,0.1,Check the correctness of the documentation,25
NA,Manual,0.1,Verify the completeness and correctness of the information to the reference Management Committee of the intervention actions <hard limit> (red area),1129
NA,Manual,0.1,Check the documentation to be sent,27
NA,Manual,365.0,Verify the calculation of the indicators and the Annual Report,3416
NA,Semi-automatic,30.0,Check the correctness of the database sent,4340
NA,Manual,0.1,Check calculation on present value,1285
NA,Manual,365.0,Check annual report data for accruals,2279
NA,Manual,0.1,Carry out checks for the purpose of certifying the Servicer Report,5049
NA,Semi-automatic,92.0,Check suitability calculation,2672
NA,Semi-automatic,30.0,Verify the correct completion of the data load relating to the securities,295
NA,Manual,182.0,Check the capitalization range,1007
NA,Manual,30.0,Reconcile data,3783
NA,Semi-automatic,0.1,Check the test results,1321
NA,Semi-automatic,30.0,Check the correct completion of the credit data,2729
Operational,Manual,0.1,Check the outcome of the technical analysis,3810
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of Aml/CTF or Countering the Financing of Terrorism,5468
Operational,Manual,0.1,Carry out checks on the subject of Aml / CTF or Countering the Financing of Terrorism,5467
Operational,Manual,0.1,Check,217
Operational,Manual,0.1,Carry out checks on the subject of /Aml /CTF or Countering the Financing of Terrorism,4930
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of Aml/CTF or Countering the Financing of Terrorism,4931
Operational,Manual,0.1,Check highlighted Black Listed callsign,5556
Operational,Manual,0.1,Check,3752
NA,Manual,0.1,Check contracts/documentation acquired,4903
NA,Semi-automatic,1.0,Verify the correct accounting of the operation,5621
NA,Semi-automatic,92.0,"Verify the completeness and formal correctness of the data present in the phases and forms, including information relating to Calendar Provisioning",1673
NA,Semi-automatic,92.0,"Verify the behavioral consistency of the data present in the phases and forms, including information relating to Calendar Provisioning",1672
NA,Manual,92.0,Monitor receipt of phases and forms,1674
NA,Manual,92.0,Verify and validate the reporting flow,3453
NA,Semi-automatic,92.0,Check the data entered in the support application,3965
NA,Semi-automatic,0.1,Check that the requested data has been corrected,154
NA,Semi-automatic,92.0,Check the data entered in the support application,5390
NA,Semi-automatic,92.0,Check the data entered in the support application,2174
NA,Semi-automatic,92.0,Verify complete and correct data consolidation,5391
NA,Manual,92.0,Check that the data has been certified,2541
NA,Semi-automatic,92.0,Verify the performance consistency of the consolidated data,5392
NA,Manual,92.0,Verify the correct and complete entry of the first notes,2170
NA,Semi-automatic,92.0,Check the data entered in the support application,3239
NA,Semi-automatic,92.0,Check the consistency of the COREP_OF_CON and FRTC bases,1411
NA,Manual,92.0,Verify the correct and complete loading of the data,1294
NA,Semi-automatic,92.0,Verify the complete fulfillment of the reliefs,495
NA,Manual,92.0,Check the correctness of the determined values,1433
NA,Manual,92.0,Verify the correct and complete entry of the first notes,5673
NA,Manual,92.0,Verify the correct and complete entry of the first notes,3017
NA,Semi-automatic,92.0,Verify complete and correct data consolidation,1383
NA,Semi-automatic,92.0,Verify the performance consistency of the consolidated data,1382
NA,Semi-automatic,92.0,Check the data entered in the support application,4449
NA,Semi-automatic,92.0,Check the data entered in the support application,2173
NA,Semi-automatic,92.0,Check the data entered in the support application,4789
NA,Semi-automatic,92.0,Check the correct compilation of the operational risks phase,155
NA,Semi-automatic,92.0,Check the sending result,2747
NA,Semi-automatic,92.0,Verify that the expected loss threshold has been exceeded,1432
NA,NA,,Check for any blockage signals,4691
Operational,Semi-automatic,1.0,Square FO and BO position balances,975
NA,Semi-automatic,1.0,Check the locations on the FO system,3333
NA,Manual,0.1,Check that the confirmation has been acquired,3550
Operational,Semi-automatic,1.0,Balancing deals on FO and BO systems,1909
NA,Semi-automatic,1.0,Check for squaring,2011
NA,Manual,0.1,Check off the transaction entered in the FO/MO systems,126
NA,Semi-automatic,0.1,Check for discrepancies,3087
NA,NA,,Check the origin of the deviations,1164
NA,Manual,0.1,Check the correct balance of the summary statement,1801
NA,Manual,0.1,Check correct insertion in the fixing procedure,4594
Operational,Manual,0.1,Check import prices,492
NA,Manual,0.1,Check the consistency of the pay off value,5216
NA,NA,,Verify correct b/b listing with materiality,4873
NA,NA,,Verify the correctness of the b/b lists constituting the active bundles,1745
Operational,NA,,Check the numbering,4417
NA,NA,,Carry out the investigation of the case,4875
NA,NA,,Verify the correctness of the bundles activation with b/b coming from Sala Conta,1781
NA,NA,,Verify the correctness of the b/b lists constituting the active bundles,1326
NA,NA,,Verify the correctness of the wad activation,1780
NA,NA,,Verify the effective duplication of the banknote,4874
NA,Manual,30.0,Verify the consistency of the prospective dynamics of the capital indicators with the drivers received,38
NA,NA,,Perform post-release checks,673
NA,Semi-automatic,0.1,Verify the successful acquisition/release of the released concordances necessary for publication,1374
NA,NA,,Check the correct update of the application,2862
NA,Semi-automatic,0.1,Carry out the appropriate checks,182
NA,NA,,Verify correct management system alignment,769
NA,Automatic,0.1,Prepare the transfer contracts not produced automatically by the system,1029
NA,Semi-automatic,0.1,Verify the correct accounting of the operation,5546
NA,Manual,0.1,Check contracts/documentation acquired,210
Operational,Manual,0.1,Check the completeness/update of the supporting documentation,4288
Operational,Manual,0.1,Verify the evaluation proposal out of autonomy,2872
Professional,Manual,0.1,Verify the correct identification of the Deliberating Body,1369
Professional,Manual,0.1,Verify the correct registration of resolutions in the system,5654
Professional,Manual,0.1,Check the correctness and completeness with respect to what is present in the system,573
Professional,Manual,0.1,Verify correct resolution proposal,4289
NA,NA,,Check the completeness of the documentation to be sent to ISMEA,3885
NA,NA,,Check the completeness of the documentation to be sent to ISMEA,3899
NA,Manual,0.1,Check the deadlines for submitting the supplementary documentation requested,4786
NA,Manual,0.1,Verify the effective loading of the positive execution outcome into the procedure,5596
NA,Semi-automatic,1.0,Verify that the settlement has taken place,5686
NA,NA,,Verify that all workstations have been reconciled and closed,246
NA,Manual,92.0,Verify the correctness and completeness of the data loaded into the management application,1821
NA,Manual,92.0,Verify correctness and completeness of evaluations,3982
NA,NA,,Verify compliance with the terms of registration and payment by the Notary,3270
NA,NA,,Check the list of questionnaires uploaded daily and validate them,4156
NA,NA,,Verify the correctness of the data indicated in the declaration and the possession of the required requisites,953
NA,NA,,Check the completeness of the documentation,4811
Operational,NA,,Manage documentation requests,5458
Operational,NA,,Check the completeness of the documentation,5459
NA,NA,,Manage documentation requests,3195
NA,NA,,Check the completeness of the documentation,5182
NA,NA,,Check the completeness of the documentation,3201
NA,NA,,Manage documentation requests,3200
NA,Manual,0.1,Verify the conditions to operate,45
NA,NA,,Ascertain the service mode in the foreign market,1015
NA,Manual,0.1,Verify that you have received the Legal Opinion.,4195
Operational,NA,,Check for the actual presence of indicators of compromise on managed systems,1376
NA,NA,,Check if you are in a false positive case,4909
NA,NA,,"When canceling the service, check the completeness and correctness of the data in the registry office",5241
NA,Semi-automatic,30.0,Control of the correctness of the accounting of the uses of the TFR,5205
NA,Manual,30.0,Verify the correctness of the handling file with accounting,5166
NA,Manual,30.0,Verify the correct accounting of accrual provisions,3165
NA,Semi-automatic,92.0,Verify the correct accounting of the actuarial adjustment of the severance fund,2076
NA,Semi-automatic,30.0,Verify the correct accounting of the actuarial entries,5355
NA,Manual,30.0,Verify the correctness of the file,313
NA,Semi-automatic,92.0,Verify the alignment of the accounting data with the file prepared for feeding the Financial Statements application,4048
NA,Manual,30.0,Verify the correct accounting of the data,3902
NA,Manual,30.0,Check data consistency,98
NA,Manual,30.0,Verification of information and details received from INPS based on payroll evidence,3979
NA,Manual,30.0,Check that the seniority bonus handling file is correctly fed,3153
NA,Manual,30.0,Check the correctness of the accounts,720
NA,Manual,30.0,Verify the correct accounting of the accrual of the variable part of personnel costs,2484
NA,Semi-automatic,30.0,Verify the correctness of the number of resources transferred,4372
NA,Semi-automatic,92.0,Check the alignment of the data between accounting and the file sent to the Actuary,4982
NA,Manual,30.0,Verify the consistency of the items relating to seniority bonuses,707
NA,Semi-automatic,0.1,Check the validity of the alleged cost reported,760
NA,Manual,30.0,Verify the correctness of the detailed files of the risks and charges provision.,2436
NA,Semi-automatic,0.1,Verification of the correct accounting of the uses of funds,2437
Professional,Manual,30.0,Verify the correctness of the TFR paid,705
NA,Manual,30.0,Verify the correctness of the prepared file,1314
NA,Semi-automatic,0.1,Verify the correct accounting of the redundancy fund,761
NA,Semi-automatic,30.0,Verify alignment with accounting,5354
NA,Manual,30.0,Verify the correctness of the data sent to the actuary,706
NA,Semi-automatic,0.1,Analyze the anomalies detected before sending them to the TR and route the solution,3619
NA,Semi-automatic,1.0,Check for correct and complete power supply,4414
NA,Semi-automatic,1.0,Analyze the outcome of the QualityChecks,1040
NA,Automatic,1.0,Oversee any technical anomalies during the processing of the feed flows,1206
NA,NA,,Monitor the correct execution of reporting,3855
NA,Semi-automatic,0.1,Carry out periodic or daily checks on the anomalies found by the Data Repertoire,1571
NA,Automatic,1.0,Oversee the feedback received from the Trade Repository regarding technical anomalies,3618
NA,Semi-automatic,0.1,Supervise the calculation of automated KQIs,4127
NA,Manual,0.1,Verify the correct and complete formalization of the configuration parameters,5674
NA,Manual,0.1,Verify the correct dictionarization of the KQI,4593
NA,Manual,0.1,Verify the proposed allocation to the Provision for Risks and Miscellaneous Charges,837
Operational,Manual,30.0,Check engagements received,4342
NA,Manual,0.1,Verify the entered ticket,1448
NA,Manual,0.1,Verify the correctness of the deal in the Position Keeping system,4261
NA,Manual,0.1,Check licenses,135
NA,Manual,0.1,Start checks on the operational and legal feasibility of the structure,134
NA,Manual,0.1,Check the P&L report,3293
NA,Manual,0.1,Check deal validation,3292
NA,Manual,0.1,Check the congruence of the operation on the Position Keeping,3761
NA,Manual,0.1,Check the congruence of the operation on the Position Keeping,3533
NA,Semi-automatic,0.1,Reconcile the technical and currency accounts and verify the correctness of the receipts,3240
NA,Manual,0.1,Check for the presence of funds on the expiration day,3786
NA,Manual,0.1,Monitor payments and received instructions,4271
NA,Semi-automatic,0.1,Reconcile the technical and currency accounts and verify the correctness of the receipts,1134
NA,Manual,0.1,Check that the operation set is correct and carry out the Release Cash Flow.,1956
NA,Semi-automatic,0.1,Reconcile the technical and currency accounts and verify the correctness of the receipts,4907
NA,Manual,0.1,Verify relevant data,890
NA,Manual,0.1,Check for new underlyings,2628
NA,Manual,0.1,Check that the data in the KID matches,1617
NA,NA,,Check the current equipment situation,4955
Operational,Manual,365.0,Check the completeness of the data provided,158
NA,Manual,0.1,Check the correctness of the declaration,1686
NA,Manual,0.1,Verify the correctness of the reports,2157
NA,NA,,Check the receipt issued by the Financial Administration,4912
NA,Manual,0.1,Check data alignment,5570
NA,NA,,Check acquisition of messages by the Bank of Italy,5301
NA,Manual,7.0,Check the list of unworked items,498
NA,Manual,7.0,Check positions with expiring shares,4934
NA,NA,,Check the transmitted data,2700
NA,NA,,Verify the correct and complete collection of the necessary information,3396
NA,NA,,Check for any impediments to enrollment,3828
NA,Manual,30.0,Check the coupon and redemption schedule,1598
NA,Manual,0.1,Verify customer credit letters,4841
NA,Semi-automatic,1.0,Verify reconciliation of foreign transient accounts,5362
NA,Manual,0.1,Verify proper position reporting to swingers,2396
NA,Semi-automatic,0.1,Verify the correctness of the forecast messages received from the custodians,909
NA,Manual,7.0,Check for rejects or retrieve events,1483
NA,Manual,0.1,Check balancing roles,5361
NA,Manual,0.1,Verify the tax amount,272
NA,Semi-automatic,365.0,Check IRS Flow Payment Reconciliation,2108
NA,Manual,0.1,Verify reports received and sending of foreign tax documentation,1599
NA,Manual,0.1,Verify correct accounting,273
NA,Manual,0.1,Check the correctness of the payments,274
NA,NA,,Verify correct management system alignment,770
NA,NA,,Check for support needs,5683
Operational,NA,,Verify the identity of the applicant,3302
NA,Semi-automatic,92.0,Check the data entered in the application,4795
NA,Semi-automatic,0.1,Check that the requested data has been corrected,4774
NA,Semi-automatic,92.0,Verify that all items are reconciled or justified,1500
NA,Manual,92.0,Verify the correction of the accounting data,1501
NA,Manual,92.0,Verify the completeness and correctness of the tables,2548
NA,Manual,0.1,Check the correctness and completeness of the checklists,3861
NA,Manual,92.0,Monitor the certification of the phases envisaged by the Tagetik application,4794
NA,Semi-automatic,0.1,Check the correctness and completeness of the data in the templates,4775
NA,Manual,30.0,Verify alignment with accounting,1204
NA,Manual,30.0,Verify the performance consistency of the income statement and balance sheet items,4511
NA,Manual,30.0,Verify correct adjustment adjustment,2870
NA,Manual,0.1,Check warranty collection requirement,3793
NA,Manual,0.1,Check whether the conditions are met for the reporting of a crime prosecutable ex officio by a public service officer,2262
NA,Semi-automatic,0.1,Monitor the deadlines for sending the preliminary investigations,2991
NA,Manual,0.1,Check the completeness of the preliminary documentation,259
NA,Manual,0.1,Verify decision-making competence,258
NA,Manual,0.1,Check the completeness of the formalization of the proposal,3792
NA,Manual,0.1,Check the completeness of the preliminary documentation,2263
NA,Manual,0.1,Examine the acquired documentation,3186
NA,NA,,Verify the quality of the service and the adequacy of the consideration,33
NA,Manual,0.1,Check the complete and correct confirmation of the SAG,3609
NA,Manual,0.1,Verify the correctness and timeliness of the manual classification,2354
Operational,Manual,30.0,Verify the correctness of the Management Risk Status,5337
NA,Manual,1.0,Check the exact assignment,3631
NA,Semi-automatic,30.0,Check the Volume dimension,521
NA,Manual,182.0,Check on the Repricing Analysis,522
NA,Manual,0.1,Verify information received from the Foreign Bank or from the Parent Company regarding the presence of events outside the model,520
NA,Manual,182.0,Verify completeness of requested information,4109
NA,Semi-automatic,1.0,Verify and communicate the suspended,5656
NA,NA,,Check for any blockage signals,1357
NA,Manual,1.0,Verify correctness of data,3236
NA,Semi-automatic,0.1,Verify the outcome of the SPPI tests performed,1884
NA,Semi-automatic,0.1,Verify correct and complete sending of confirmations,1550
NA,Semi-automatic,1.0,Verify proper alignment between systems,1427
NA,NA,,Relate the systems,4563
NA,Semi-automatic,0.1,Check for any pending settlement confirmations,1426
NA,Manual,1.0,Tick settlement instructions,5414
Operational,Manual,0.1,Check that the data has been entered correctly,1000
Operational,Manual,92.0,Check the spreadsheet for overlapping and inconsistent chapters,4451
NA,Manual,0.1,Verify the regularization of the provisional exits,1381
Operational,Manual,0.1,Verify the regularity of the reversal,1515
NA,Semi-automatic,0.1,Check the printout produced by the bond loan management procedure,1743
NA,Semi-automatic,0.1,Check the confirmation message from the Depositary,1742
NA,Semi-automatic,0.1,Verify correct title cancellation processing,323
NA,Semi-automatic,30.0,Verify compliance with restrictions,3040
NA,Manual,0.1,Check the correctness and consistency of the credit transfer,3085
NA,Manual,0.1,Check the correctness and consistency of the credit transfer,5283
NA,Manual,0.1,Check the correctness and consistency of the credit transfer,3084
NA,Manual,0.1,Verify data entry into the system,1287
NA,Manual,0.1,Check documentation,4359
NA,Manual,0.1,Verify the correctness of the disbursement accounting,4990
NA,Manual,0.1,Check draft contracts,4793
NA,Manual,0.1,Check documentation,5075
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the contract with what is present in the system,5076
NA,Manual,0.1,Check the data loaded into the system,899
NA,Manual,0.1,Verify the correctness of the disbursement accounting,4241
NA,Manual,0.1,Verify the correct acquisition of the policy,5074
NA,Manual,0.1,Verify the correct acquisition/loading of the guarantees in the procedure,4989
NA,Manual,0.1,Verify the correct acquisition of the contractual scheme,4046
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the contract with what is present in the system,2435
NA,Manual,0.1,Verify the correctness of the disbursement accounting,3990
NA,Manual,0.1,Check the data loaded into the system,4240
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the contract with what is present in the system,4358
NA,Manual,0.1,Verify formal completeness of the documentation,4357
NA,Manual,0.1,Verify correct acquisition of the contractual scheme,896
NA,Manual,0.1,Verify the correct acquisition/loading of the guarantees in the procedure,3989
NA,Manual,0.1,Check the draft of the final contract,900
NA,Manual,0.1,Check draft contracts,4991
NA,Manual,0.1,Check the contractual texts,4045
NA,Manual,0.1,Check the correctness of the accounting,4242
NA,Manual,0.1,Verify exact credit distribution,3633
NA,Manual,0.1,Verify the correctness of the provision of the sum to the customer,4988
NA,Semi-automatic,182.0,Check the data produced for reporting,3713
NA,Semi-automatic,1.0,Check reports,5028
NA,Semi-automatic,1.0,Verify proper balance alignment,179
NA,Semi-automatic,1.0,Check for the presence of SIRE flow,10
NA,Manual,0.1,Verify the consistency of the data,4003
NA,Manual,0.1,Check the data entered in WF SAP,2918
NA,Manual,30.0,Check the zeroing of the miscellaneous items,1834
NA,Manual,0.1,Verify the correct allocation of the accounting,5478
NA,Manual,1.0,Verify compliance with the time limits calculated by the application,1753
NA,Manual,0.1,Verify the correct entry of data to the system,230
NA,NA,,Verify and validate the correct acquisition of the documentation,5034
NA,NA,,Validate the list,5033
NA,Semi-automatic,0.1,Check correct transfer deal,4850
NA,Manual,1.0,Check receipt of the file,509
NA,Manual,0.1,Verify correctness of cancellation,4851
Operational,Manual,1.0,Check for any anomalies on the P&L,1220
NA,Manual,30.0,Verify receipt of fees and account for fees,251
NA,Semi-automatic,30.0,Carry out verification/reconciliation relating to equity/bond fees - IMI CIB rebates,1828
NA,Manual,0.1,Proceed with the request for confirmation of the successful exclusion,4633
NA,Manual,0.1,Check that the conditions entered are those contractualised,595
NA,Manual,182.0,Carry out a six-monthly check through a statistical test,4884
NA,Manual,0.1,Verify the information from the Foreign Bank or the Parent Company regarding the presence of events exogenous to the model,4883
NA,NA,,Verify employment documents and identify risk indicators,2843
NA,NA,,Verify and deliver the letter of employment,2362
NA,NA,,Check the entered data,132
NA,NA,,Check the salary data on the signed authorization note,2363
NA,Manual,0.1,Verify the correct update,2444
NA,Manual,0.1,Verify reports received and sending of foreign tax documentation,1121
NA,Manual,0.1,Check balancing roles,970
NA,Manual,0.1,Verify customer credit letters,5484
NA,Semi-automatic,0.1,Verify the correctness of the foreign dividend forecasts,2891
NA,Manual,0.1,Verify the correctness of reporting the position to foreign exchange traders,2892
NA,Semi-automatic,1.0,Verify reconciliation of foreign transient accounts,971
NA,Manual,0.1,Verify the tax amount,316
NA,Manual,7.0,Check for rejects or retrieve events,1391
NA,Semi-automatic,365.0,Check IRS Flow Payment Reconciliation,180
NA,Semi-automatic,365.0,Check sending certifications,5485
NA,Semi-automatic,365.0,Check panels mod. 770 of relevance,181
NA,Manual,0.1,Verify correct accounting,3897
NA,Manual,0.1,Check the correctness of the payments,3898
NA,Manual,1.0,Monitor the allocation of Pending,2306
Operational,Manual,1.0,Check Unused Pre-Notices,4933
NA,Manual,1.0,Manage Expired Notices,4932
NA,Manual,1.0,Check the registrations made.,3164
Professional,Manual,1.0,Verify compliance with the processing times of the files within the terms set by the PSD2,204
Professional,Manual,1.0,Verify the accounting balance of the Miscellaneous Items open against practices that have not yet been completed,3646
Professional,Manual,1.0,Verify the accounting balance of the open Miscellaneous Items in relation to the status of the files,3647
NA,Semi-automatic,365.0,Check VCO,5314
Professional,Manual,0.1,Check documentation completeness,3366
Operational,Manual,30.0,Verify actual check accounting,3537
NA,Manual,0.1,Check contract,964
NA,Manual,0.1,Verify the correctness of the data entered in the system,621
NA,Manual,0.1,Check,3519
Operational,Manual,1.0,Check for bad or bad messages,327
NA,Manual,0.1,Monitoring pending hold accounts,5577
NA,Manual,0.1,Check for any discrepancies and/or relevant or privileged information,5443
NA,Manual,0.1,Check for any discrepancies and/or relevant or privileged information,5444
NA,Manual,0.1,Check for any discrepancies and/or relevant or privileged information,3380
NA,Manual,0.1,Check for any discrepancies and/or relevant or privileged information,3379
NA,Semi-automatic,30.0,Verify elaboration of risk metrics,1717
NA,Manual,30.0,Verify consistency of risk measures,2818
NA,Semi-automatic,30.0,Verify correct Parent Company data flow processing,5630
NA,Semi-automatic,0.1,Verify complete receipt of scheduled flows,3522
NA,Manual,1.0,Verify consistency between portfolio handling and actual stock,4525
NA,Manual,0.1,Verify the Congruence of the Operation on the Position Keeping,4092
NA,Manual,0.1,Verify the correctness of the order entered,566
Operational,NA,,Check,3763
NA,NA,,Carry out the manual checks foreseen in relation to Embargoes,3594
NA,Manual,0.1,Check the correctness of the returned funds,3525
NA,Manual,0.1,Check generation of mirror and counterpart data,1470
NA,Manual,0.1,Validate the strategy,2255
NA,Manual,1.0,Check that the entered data is correct,1082
NA,Manual,1.0,Check the correctness of the downloaded database,1469
NA,Manual,1.0,Verify the correctness of the data entered in the Front Office systems,1081
NA,Semi-automatic,92.0,Verify that the data has been imported correctly,2826
NA,Semi-automatic,92.0,Check consistency in data generation,3006
NA,Manual,92.0,Check that the entered information has been loaded correctly,5015
NA,Manual,92.0,Compare leverage files with credit risk files,1071
NA,Manual,92.0,Verify the complete fulfillment of the reliefs,47
NA,Manual,92.0,Verify consistency of credit risk data,1074
NA,Manual,92.0,Check that the information entered is correct,1070
NA,Semi-automatic,92.0,Verify the adequacy of the entered data,3275
NA,Semi-automatic,92.0,Verify the correct and complete data acquisition,1072
NA,Manual,92.0,Check that the data has been sent,2542
NA,Manual,92.0,Check the completeness and correctness of the information entered,1882
NA,Manual,92.0,Check the data of the COREP-Leva Package,5016
NA,Manual,92.0,Check the correct loading of the indicators in the signaling application,1073
NA,Manual,92.0,Check the correctness of the calculated indicators,1069
NA,Manual,0.1,Verify the financeability of the asset,524
NA,Manual,0.1,Verify the regularity in the repayment of the installments,261
NA,Manual,0.1,Verify the existence of impediments to the payment of contributions,262
NA,Manual,0.1,Check the system registration of the contributions disbursed,2691
NA,Manual,0.1,Verify the correctness of the contributions disbursed,2690
NA,Semi-automatic,0.1,Verify the correct transmission of the document,102
NA,Manual,0.1,Check the data,3053
NA,Manual,0.1,Check the validity of the document,3054
NA,Manual,0.1,Verify the correct and complete registration of the document in the system,3055
NA,Manual,0.1,Check the data,3733
NA,Manual,0.1,Analyze and resolve anomalies from manual reports,2410
NA,Automatic,0.1,Analyze and resolve anomalies from automatic reports,405
Operational,NA,,Verify the correctness of the return of the provisional deposit,3775
Operational,NA,,Verify the correctness of the deposit of the provisional deposit,3774
Operational,NA,,Keep data up to date,4165
Professional,Semi-automatic,92.0,Verify the correct import into Tagetik of the Relationships between companies subject to consolidation,3180
NA,Semi-automatic,92.0,Verify the complete fulfillment of the reliefs,1060
NA,Manual,92.0,Check that the EP_USD phase has been certified,4953
NA,Manual,92.0,Perform trend analysis of USD exposure data,3534
NA,Semi-automatic,92.0,Verify the correctness of the data produced,1902
NA,Semi-automatic,92.0,Perform the comparison between the EP Base for Foreign Branches and the General Accounting and verify the consistency of the trends,3193
NA,Semi-automatic,92.0,Run the diagnostic and analyze the report,4132
NA,Semi-automatic,92.0,Perform the comparison between the EP Base and the other bases and check the behavioral consistency,3192
NA,Semi-automatic,92.0,Check the completeness and consistency of the product flow in Smartreg,995
Professional,Semi-automatic,92.0,Verify the correctness of the data upload,1053
NA,Semi-automatic,92.0,Verify the correctness of the data produced,3807
NA,Semi-automatic,92.0,Check for errors that occur on Group Companies,994
Professional,Semi-automatic,92.0,Check that the data has been loaded correctly,3299
NA,Semi-automatic,92.0,Check the corrections of the Group companies,108
NA,Semi-automatic,92.0,Check the consistency of the data with the Treasury results,5315
Professional,Semi-automatic,92.0,Verify the correct loading of data in Tagetik,3181
NA,Semi-automatic,92.0,Check diagnostic result,1693
NA,Semi-automatic,92.0,Verify the correctness of the data upload,3981
NA,Semi-automatic,92.0,Verify the correctness of the data produced,1903
NA,Automatic,92.0,Check the APM diagnostic,2344
NA,Semi-automatic,92.0,Verify the correctness of the data upload,3806
NA,Semi-automatic,92.0,Perform diagnostic checks in order to verify the correctness of the signal flow,4135
Professional,Semi-automatic,92.0,Verify the correct import of data into Tagetik EP phase,3300
NA,Manual,92.0,Carry out data trend analysis,1304
NA,Manual,92.0,Check that the Base EP phase has been certified,359
NA,Semi-automatic,92.0,Verify the quadrature of the individual tables of the phase,3808
NA,Manual,0.1,Verify correct input of data,4592
NA,Manual,365.0,Verify and consolidate estimates,4070
NA,Semi-automatic,365.0,Check the cards,5070
NA,Semi-automatic,365.0,Check the correctness and completeness of the file,2987
Professional,Semi-automatic,365.0,Verify the projects to be sent for negotiation,2231
NA,Manual,365.0,Verify and consolidate estimates,4279
NA,Manual,0.1,Check the consistency of the excerpt,4750
NA,Manual,0.1,Check the updating and correctness of the entered data,2034
NA,Manual,30.0,Monitor expiring mortgages,4291
NA,NA,,Verify that the initiative is adequate and/or supported by budget,1481
NA,NA,,Verify the congruence of the implementation,423
NA,NA,,Check the optimization of the management process and maintenance interventions,3940
NA,NA,,Check the optimization of the management process and maintenance interventions,1568
NA,NA,,Check progress and compliance with execution times,1440
NA,NA,,Check progress and compliance with execution times,3062
NA,NA,,Verify that the initiative is adequate and/or supported by budget,1439
Operational,Manual,1.0,Check the squaring patterns,2414
NA,Manual,365.0,Check the correctness of the data,3266
NA,Manual,365.0,Check the adequacy of the received data,4908
NA,Manual,365.0,Check the completeness of the prospectuses received,4621
NA,Manual,365.0,Verify correct accounting,3030
NA,Manual,365.0,Verify the correctness of the settlement notice,3330
NA,Manual,0.1,Check the correctness of the payments,1641
NA,Manual,365.0,Verify the balance of the declaration,4622
NA,Semi-automatic,30.0,Verify the correct and complete accounting of the VAT positions,588
NA,Manual,30.0,Verify the correctness of the VAT advance to be paid,4752
NA,Manual,30.0,Verify the correct accounting of the VAT liquidation,1818
NA,Semi-automatic,30.0,Verify the correct and complete certification of the data,1442
NA,Manual,30.0,Verify the correct and timely charge for the payment of the tax,1817
NA,Manual,30.0,Check the correctness of the payments,4038
NA,Semi-automatic,30.0,Verify the correct and complete production of the relevant information,1083
NA,Semi-automatic,30.0,Verify correct and complete data consolidation,1441
NA,Manual,30.0,Check and validate the F24 model,1816
NA,Manual,30.0,Verify the correctness of the amounts communicated,4753
NA,Semi-automatic,1.0,Verify the cause of the deviations or the lack of association and integrate the positions not considered,2988
NA,Semi-automatic,1.0,Analyze daily processing logs,3108
NA,NA,,Quarterly check the data in the RTS 27 Report,1973
NA,NA,,Carry out the monthly check of the data present in the Market Report,3845
NA,NA,,Quarterly check the data in the RTS 27 Report,4530
NA,NA,,Quarterly check the data contained in the Report SI Determination,4754
NA,Manual,0.1,Tick the data uploaded to the system,1505
NA,Manual,0.1,Verify congruence between data entered on the Front system and spreadsheet,1506
NA,Manual,0.1,Verify the presence of the certain date,1177
NA,Manual,0.1,Check the correctness of the documentation collected for the variation,4481
NA,Manual,0.1,Verify the correct formalization of the pledge together with the completeness and regularity of the acquired documentation,3588
NA,Manual,0.1,Verify the presence of the certain date,1178
NA,Manual,0.1,Verify the completeness and correctness of the acquired documentation,4888
NA,Manual,0.1,Check that the documentation is complete and completed in all its components,1176
NA,Manual,0.1,Verify the correct formalization of the pledge variation together with the completeness and regularity of the documentation acquired,3994
NA,Semi-automatic,0.1,Verify the presence of the contractual documentation.,3801
NA,Manual,0.1,Oversee the correct and complete completion of the documentation at the time of stipulation,1363
