actorType,actor,actorID
Empty group,Structures inside the CRO Area,2173
Empty group,CRO area - Market/liquidity/operational/credit risks,287
Empty group,CRO Area - Credit Risks,286
External Organizational unit,ISP life,1259
Empty group,Long absent employee,1494
Person,Trading Desk,2274
External Organizational unit,Large Corporate Loans,1432
Organizational unit,Oversight of Transversal Data Initiatives,1720
Empty group,Competent Data Owner,420
Empty group,Central Purchasing Department,334
Organizational unit,Professional and Industry Associations,1871
Person,Body for keeping the Register of Financial Advisors,205
Empty group,External Corporate Servicer,873
Empty group,Auditing firm,137
Empty group,Asset monitors,116
Empty group,Other demand structures,1710
Empty group,DIL validator,683
Empty group,Trading desks,2276
Empty group,Recipients - Weekly liquidity survey - Banks,1946
Organizational unit,Processes and Quality Assurance Transaction Monitoring,1854
Organizational unit,Internal Financial Intelligence Unit - Case Investigations,1326
Organizational unit,Registry and Group Company,1971
Empty group,Reference technical structure,1960
Empty group,Secondary whistleblower,2078
Empty group,Primary whistleblower,1826
Empty group,Local Compliance Officer,1477
Empty group,Reported Subjects/Referees,2000
Empty group,Subjects/Referees registered in the Limited Information List and in the Insider List,2178
Person,Administrative structure of the Company in scope,54
Empty group,CBCM contacts,252
Empty group,IT Factory Committee,1276
Empty group,Italian Bank of the Group,1413
Empty group,Reference structures - credits,1959
Empty group,Foreign Banks,994
Empty group,Corporate Secretariat Banca Italiana Subsidiary,551
Organizational unit,Intesa Sanpaolo House,1366
Organizational unit,International Legal,1342
External Organizational unit,Hub Hong Kong Branch,1209
Empty group,requesting employee,2362
Empty group,CIB Service Manager,273
Empty group,Organizational Unit Manager,1693
Empty group,SSA contact person,2066
Person,Clearstream,372
Organizational unit,Application coordination,92
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Information Systems,937
Organizational unit,CIB Capital Markets,262
Person,Counterparty,587
Organizational unit,IMI CIB Regulatory Solutions,1231
Organizational unit,Ratings & Fundamental Data,1929
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Corporate Affairs,927
Empty group,Structure responsible for the matter - Parent Company,2150
Empty group,Structure of the Subsidiary Bank's Financial Statements - Italy perimeter,2145
Organizational unit,Operations Credits,1665
Organizational unit,Operations Titles,1672
Organizational unit,Assessments and Verifications of Accounts and Deposits,108
Organizational unit,Credits,642
Empty group,Requirements Committee,2014
Empty group,ICT contact person,1223
Empty group,ICT Project Leader,1220
Empty group,Data Owner Responsible for the document,703
Empty group,Project director,1878
Empty group,Project sponsors,1880
Person,Key Manager,1421
Person,hierarchical manager,2353
Person,NSF - Consortium for tax studies and research - back office with tax studies and research,1601
Empty group,Appointed Committees,95
Person,Commercial Partner,390
Empty group,Product / Service Manager Structure,1859
Empty group,Application contact person,91
Empty group,Operations structure competent for the specific activity,1676
Empty group,Structures recipients of the reports,2175
Empty group,Controlled Structure,504
Organizational unit,Corporate activity audits,560
Organizational unit,Controller Relationship Units,511
Person,CIB Counterparty,265
Person,The Counterparty,2253
Person,Carrier/Maintainer,303
Position,Personnel Manager - Digital Branch Management,1777
Position,Personnel Manager - Agribusiness Management,1776
Position,Personnel Manager - Impact Management,1778
Empty group,Management of Legal Entities/Foreign Branches,1527
Empty group,Company Control Functions,406
Person,"Spontaneous applicant (e.g. association, body, organizer, promoter of the initiative/event)",2127
Empty group,U.O. Manager impacted,2305
Empty group,Responsible of the Host O.U,2027
Organizational unit,"Extraordinary Transactions, Product Control and Group Treasury and Finance Support",895
Organizational unit,Network Development,1610
Organizational unit,Enterprise Risk Analysis & Integrated Reporting,830
Organizational unit,Data Owner IMI CIB,702
Organizational unit,DOW BdT,685
Person,BdT Product Company,188
Organizational unit,Local Public Administration Relations,1481
Position,Territorial Coordination Specialist for Products and Segments - Agribusiness Management,2244
Position,Chief Compliance Officer Governance Area Manager,358
Position,Head of the Enterprise Risk Management Central Department,1184
Position,Head of the BdT Risk Management Central Department,1178
Position,Head of Digital Business Partner Business Areas,1149
Position,Head of the Central Studies and Research Department,1180
Position,Chief Risk Officer Governance Area Manager,368
Position,Head of the BdT and Private Banking Regulatory Compliance Central Department,1179
Position,Head of Group Treasury and Finance Department,1158
Position,Head of Banca dei Territori Division,1144
Empty group,Managers of Group Product Factories competent on the basis of the Division's offer,1539
Empty group,Managers of companies belonging to the Banca dei Territori Division,1541
Position,Head of Global Markets & Investment Banking - IMI CIB Division,1156
Position,"Head of Market, Financial and C&IB Risks Coordination Area",1166
Position,Head of Central Legal and Litigation Department - Group General Counsel,1146
Position,Head of the Corporate and Investment Banking Regulatory Compliance Central Department,1181
Position,Head of IMI Corporate & Investment Banking Division,1160
Empty group,Referent group,1963
Empty group,Operation management,1649
Empty group,Certificate contact person,344
External Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Training,944
Organizational unit,"IMI CIB audits, Public and Project Finance",1233
Empty group,Recipients of communication of certification of the model,1950
Organizational unit,Tableau de Bord and IMI CIB Business Plan,2217
Empty group,Incident Management,1285
Organizational unit,Geographic Area 2 NPE management,1045
Organizational unit,Multinational Clients,1591
Organizational unit,NPE management Geographic Area 1,1599
Person,Method,1573
Organizational unit,BdT Management Control and Wealth Management,185
Empty group,Operation owner structure,1650
Empty group,Responsible Division/Direction responsible,2021
Empty group,Deliberative body,735
Empty group,Research team,2015
Empty group,Responsible of the requesting Structure,2028
Empty group,Competent personnel management,440
Position,Agribusiness specialist,65
Empty group,Bidder,200
Empty group,Developer,755
Organizational unit,"Sales Support Enterprises, Agribusiness and Third Sector",2072
Person,Group companies in scope,1121
Empty group,Product Governance table of the IMI CIB Division,1865
Organizational unit,Coordination of Foreign Company Compliance and Cross-border Operations,524
Empty group,Envelope opening clerk,838
Empty group,Purchasing Manager,1907
Organizational unit,Product specialist desks - Hub foreign branch,1867
Organizational unit,Foreign companies,1013
Empty group,Corporate secretariats of Group companies,574
Empty group,Group Company Compliance Officer,1099
Empty group,Company Contact,405
Empty group,Competent structures for conducting initiatives on MR/MTF/OTF,442
Empty group,Index administrator,1290
Empty group,Moderator,1583
Empty group,Financial analyst,981
Person,Applicant,80
Person,CRIF,284
Empty group,Data Office,697
Empty group,PCI Officer,1726
Empty group,Client Solutions Sales,379
Empty group,Investors,1406
Person,State Street Bank,2128
Organizational unit,Audit Regulatory Models & Capital Adequacy,131
Empty group,Recipient of the escalation communication,1941
Empty group,Head of the Organizational Unit dedicated to issues relating to the Data Governance model,1186
Empty group,Responsible for the Data Owner structure,2024
Empty group,Organizational unit dedicated to issues relating to the Data Governance model,1697
External Organizational unit,Fideuram Life,947
Empty group,Addressee structure of the deed,40
Empty group,Optional evaluator functions,1680
Empty group,Mandatory and optional assessors – where involved,1545
Empty group,reporting structures,2361
Empty group,Incoming OU Manager,1288
Empty group,Competent and monitoring functions,431
Empty group,Head of OU impacted,1169
Empty group,Competent Deliberating Body,421
Empty group,Non-operating structure staff,1632
Empty group,Operating structure staff,1647
Empty group,Head of the Operating Structure,1185
Empty group,Head of non-operational structure,1176
Empty group,CIB assistant,274
Empty group,Operations Central Structures,1664
Person,Mercury,1572
Organizational unit,ISBD Trade Finance,1251
Empty group,Shareholders' meeting,2105
External Organizational unit,Intesa Sanpaolo Innovation Center,1375
Empty group,proposing structure,2358
Empty group,Secretariats Decision-making bodies,2082
Empty group,Other facility involved,1711
Empty group,Corporate Bodies Secretariat,540
Person,Typography,2304
Empty group,Head of Human Resources Department,1159
Organizational unit,Remuneration Committee,1990
Person,Borsa Italiana S.p.A.,209
Organizational unit,Know Your Customer Anti Money Laundering,1423
Empty group,Supranational entities,2215
Empty group,exteriors,2349
Person,Other shape or structure,1713
Person,Service in charge,2101
Empty group,Authorized subject,141
Person,Corporate Secretariat Bank / Subsidiary,552
Person,Administrative structure Bank / Company not in service,50
Empty group,Controller Legal Entity,509
Person,cross factor,2347
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Operations Banking Products,940
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Branch,920
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Centralized Branch,922
Position,Head of Government & Institutional Investors,1157
Position,Head of Client Management Support,1148
Position,"Head of Asset Management, Insurance & Government",1143
Position,Head of Emerging Markets,1152
Position,Head of Sovereign Wealth Funds,1173
Position,Head of Financial Sponsor Group,1153
Position,Head of Asset Management,1142
Position,Fideuram Intesa Sanpaolo Private Banking - Centralized Branch Manager,923
Position,Banks manager,177
Person,M.E.F.,1502
Organizational unit,International Litigation,1343
Empty group,Customer Controls,657
Person,Foreign Banks not belonging to the Group,1001
Empty group,Central Administration Function,309
Person,SWIFT,2068
Organizational unit,ISBD Sales Support,1250
Empty group,Division manager,786
Empty group,Management Committee,1518
Position,Credit Officer - Regional Management,609
Organizational unit,Product Placement and Suitability,1866
Person,Company of the Banking Group,414
Empty group,Passive Cycle Referent,1742
Empty group,Accounting structure,30
Organizational unit,Credit Risk Reporting and Infrastructure,625
Organizational unit,Marketing,1562
Empty group,Chairman of the Committee,348
Person,Client company,380
Organizational unit,Analysis & Modelling,68
Position,Director of the Financial Advisors Area,781
Position,Exclusive Commercial Director,865
Empty group,Tax Structure of the new Participant,2222
Empty group,Tax Structure of the Company to be excluded,2221
Empty group,Tax structure of the companies in the perimeter,2224
Empty group,Secretariat of the new Participant,2081
Empty group,Applicant bank assistant,83
Person,Fideuram Treasury,948
Empty group,Recipient structures,1944
Person,Third Keeper,2259
Person,INAIL,1237
Organizational unit,"Retail, Personnel and Planning",2040
Empty group,Structure responsible for the Varied Match,2149
Person,Cassa di Compensazione e Garanzia,306
Person,Reviewers,2042
External Organizational unit,Intesa Sanpaolo Holding International,1365
Empty group,Certification Bodies,345
Organizational unit,Audit of Government Processes and Regulatory Fulfillments,134
Empty group,brokers,2339
Organizational unit,Financial Products and Product Factory Coordination,975
Empty group,Supranational body,2214
Organizational unit,Segment Reporting Layer and Transversal Analysis BU,2094
Empty group,External Law Firm,877
Empty group,Representative of noteholders,2009
Empty group,Calculation agent,290
Person,ISPB -Pricing and Monitoring,1273
Person,FID - Performance Management Methodologies and Tools,902
Position,ISPB - Private Area Coordinator,1268
Empty group,Assignee structure,118
Empty group,Group banks/companies involved,1118
Empty group,Client Company Outsourcing Coordinator,374
Empty group,Parent Company disbursing structure,1736
Empty group,Processing and Business Support Interface Manager,1857
Organizational unit,ECM BDT,798
Organizational unit,International Bank Coordination,1337
Empty group,"Functions Foreign bank CFO, Real estate Planning & Control",1026
Organizational unit,Coordination of Foreign Companies,523
Empty group,Italian companies managed within the perimeter,1417
Empty group,Business/Process Owner,251
Empty group,Structures involved in the Programme,2174
Empty group,Program Steering Committee,1874
Empty group,Risk Committee,2048
Person,IVASS,1280
Organizational unit,Investment Banking & Structured Finance London - IMI CIB Division,1395
Empty group,Bank General Management,164
Empty group,Activator function,34
Empty group,User Manager,2313
Empty group,Compliance Officer - Group Bank/Company,453
Empty group,Other recipient Structures of the Group Bank/Company,1712
Empty group,Recipients Reporting Volcker Rule,1949
Person,Supervisory authority,2200
Organizational unit,Oversight of the Data Governance Model,1721
Organizational unit,Central Relations & Legislative Monitoring,336
Organizational unit,Data office coordination,721
Organizational unit,Supervisory Impact Assessment,2193
Person,Bondholder Representative,207
Person,Company not in the CRO Area perimeter,413
Empty group,Function Responsible for the Rules document,1023
Empty group,Functions Involved,1028
Organizational unit,AML Network,15
Position,Head of Central Operations Department,1147
Position,Head of Global Banking & Sovereign Institutions Department - IMI CIB Division,1154
Empty group,Head of Direct Management of Bad Loans,1150
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Operational Branch Management,939
Organizational unit,Desk Factoring - Foreign Branch,750
Empty group,Subsidiary/subsidiary company,2185
Empty group,Head of the Department to which the Employee belongs,1183
Organizational unit,Development of Incentive Systems,756
Organizational unit,Accounting & Operations - London,25
Empty group,Reporting Structure,2003
Empty group,Group ISO,1106
Empty group,Local IT Security Managers,1479
Empty group,Secretariats of Centralized Management Companies,2083
Empty group,Implementing body,1283
Empty group,Requesting facility,2013
Empty group,Servicers,2102
Empty group,Group Banks/Companies,1098
Empty group,Compliance Officer Company with non centralized management,454
Empty group,Figure supporting the local Functions in carrying out the non-compliance risk monitoring activities,950
Empty group,Data Governance Project Manager,695
External Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Corporate Affairs,927
External Organizational unit,ISPB - Marketing,1265
External Organizational unit,"Fideuram Intesa Sanpaolo Private Banking - Planning, BDG and Contr. of ISPB Management",941
Organizational unit,Administered savings products and consultancy services,41
Empty group,Appointed function,98
Organizational unit,Retail Digital Transformation,2034
Empty group,Data Owner Coordinator,701
Empty group,Structure that performs the function of Secretariat,2155
Empty group,Initial Recipients,1306
Empty group,Foreign Banks in the perimeter,1000
Organizational unit,Financing Retail and Agribusiness companies,984
Organizational unit,Digital Transformation Monitoring,772
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - ISPB Organization,934
Empty group,Subsidiary owning the card relationship,2184
Organizational unit,Investor Coverage & Roadshow,1403
Organizational unit,Administrative Governance and Group Controls,44
Empty group,Estimate IMM,850
Empty group,ICT Estimator,1218
Empty group,In charge,1284
Empty group,Appointed employee,97
Person,External supplier,891
Empty group,Editorial structure of the applicant,812
Organizational unit,Market Strategist,1554
External Organizational unit,Financial Taxation,979
Empty group,Head of Division or Management,1151
Empty group,Head of International Banks Division,1163
Organizational unit,Transformation and Operations Planning,2285
Empty group,Problem Task Assignee,1845
Empty group,Key Custodian,1420
Empty group,Key Manager,1421
Empty group,Recipient of the nomination,1943
Person,External Body,871
Empty group,The Head of the Banca dei Territori Division,2255
Person,Issuer,1408
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Product and Customer Risk,942
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Control and Risk Model Control,926
Organizational unit,Private Customer Journeys and Multichannel Developments,1834
Organizational unit,Customer Journey Companies,658
Organizational unit,Coordination Monitoring Network Applications and Channels,518
Organizational unit,Commercial Planning,393
Person,cro,2346
Person,CFO,257
Organizational unit,National and international policies and bodies,1604
Organizational unit,Liquidity Management,1465
Empty group,Financing body,985
Empty group,Organizational units dedicated to Data Ownership,1699
Organizational unit,Compliance Checks,445
Empty group,KLEIS suppliers,1419
Empty group,CERT,256
Organizational unit,Country Manager USA & Americas - IMI CIB Division,591
Empty group,Relevant Entities,1984
Person,Administrative structure of the Bank in scope,53
Person,Legal Entity Italy,1453
Person,Foreign Legal Entity,1006
Empty group,Euro Money Market Manager,858
Person,CCP,253
Empty group,supranational body,2365
Organizational unit,Intesa Sanpaolo RE.O.CO.,1382
Organizational unit,Eurizon Capital SA,854
Person,General Secretariat - Other company within the VAT Group,1043
Organizational unit,Corporate Image,546
Person,Translator,2288
Organizational unit,"Guidelines, Rules and Risk Culture",1128
Organizational unit,Administrative requirements for non-banking companies ex UBI,49
Organizational unit,Planning and Monitoring Real Estate Activities,1799
Organizational unit,Portfolio Policies,1808
Empty group,Intesa Sanpaolo branch,1390
Empty group,Authorized subjects,142
Empty group,Proprietary data structures,1886
Empty group,Heads of organizational structure of DSI,1195
Empty group,DSI Operational Coordinators,687
Organizational unit,Retail Management Support,2036
Empty group,Technical session of the Product Governance Table of the IMI Corporate & Investment Banking Division,2235
Person,Account Holding Bank,18
Person,Supervisory Body and keeping of the single register of financial advisors,2191
Organizational unit,Credit Risk Technology,626
Organizational unit,Data Quality Controls and Analytics,709
Empty group,Branch responsible for issuing the receipt,214
Organizational unit,Intesa Sanpaolo Holding International,1365
Organizational unit,M&A Financial Services,1500
Organizational unit,"Strategic Initiatives, Project Portfolios and Investments",2133
Organizational unit,M&A Commercial Banking,1499
Empty group,Controller of the Business Unit or Company,512
Empty group,User manager,2315
Empty group,CEO Managers,254
Organizational unit,ICT Global Governance,1219
Empty group,User test designer,2316
Person,External Documentation Manager,875
Person,Help Desk Archives,1199
Person,Graphic design and layout consultancy,1091
Organizational unit,Business Unit Events and Initiatives,243
Organizational unit,Institutional Events and Initiatives,1311
Person,Eurizon Capital SGR - Risk Management,855
Organizational unit,Data Quality Controls,708
Person,Main Contractor,1514
Person,Maintainer,1515
Empty group,BDT assistant,146
Person,UOG managers,2306
Empty group,Administrative Servicer,46
Empty group,Evaluator functions on call,863
Empty group,Other authorized function,1708
Empty group,Deliberative function,736
Empty group,Referent for reporting,1961
Organizational unit,Resource Planning and HR Systems BdT,2017
Empty group,Controlled Structures,505
Organizational unit,"Audit, Reporting and Internal Quality Assurance methodologies",136
Person,Engineering S.p.A.,829
Person,Tax structure of the company within the scope of the VAT Group,2226
Empty group,Legal function,1459
Empty group,Compliance function,457
Organizational unit,Participatory Investments,1738
Person,Psychologist specialist,1895
Empty group,Crisis contact persons,651
Organizational unit,Industry & Banking Research,1294
Organizational unit,AFC Group Entities Oversight,9
Organizational unit,Compliance Digital Transformation,448
Organizational unit,Transaction Monitoring Anti Money Laundering,2280
Organizational unit,Financial Sanctions and Anti-Corruption,976
Empty group,Structures Interested in moving,2169
