activityType,activityCategory,activity,activityID
process activity,Operational,Carry out Anti Financial Crime (AFC) checks and controls and implement client instructions,2718
control activity,Other,Carry out the fulfilments foreseen in terms of Anti Financial Crime (AFC),3572
control activity,Other,Carry out Anti Financial Crime (AFC) checks and controls,2717
process activity,Operational,Change the status of the check from the customer envelope,4031
control activity,Operational,Check that the status of the check has been changed,5020
process activity,Operational,Update the practice by carrying out Anti Financial Crime (AFC) checks and controls,24359
control activity,Other,Checks and compliance with anti-money laundering and countering the financing of terrorism,6401
control activity,Operational,Check correct execution and verify entered data,4283
process activity,Professional,Receive instructions from the customer,18818
process activity,Operational,Update practice,24208
process activity,Professional,Protest any effect,17808
process activity,Operational,Archive practice and check the schedule,1849
process activity,Operational,Communicate check result,6846
process activity,Professional,Agree on the continuation of the activities,1123
process activity,Operational,Return the check and/or bill,20922
process activity,Operational,Send the unpaid check to the receiving branch,22361
process activity,Operational,Change the status of the unpaid check from the customer envelope,4034
control activity,Operational,Check that the status of the assembly has changed,5019
process activity,Operational,Send instructions (if received on paper) and/or documentation to the Operator,21582
control activity,Operational,Verify congruity between transferor mandate and customer instructions,25103
process activity,Operational,Manage documents,14341
process activity,Professional,Evaluate any authorization of the operation,10223
process activity,Operational,Proceed to protest the check,17303
process activity,Professional,Request any instructions,20135
process activity,Operational,Deliver documentation to the Client,8908
process activity,Operational,Send communications to the client and liquidate the case,21421
process activity,Operational,Tick and permission to send messages,23872
process activity,Professional,Send the text of the mandate,22357
process activity,Professional,Evaluate market conditions and pipeline compatibility,10287
process activity,Professional,Evaluate the opportunity to sign NDA and get it signed,10580
control activity,Other,Verify NDA contents,24846
process activity,Professional,Define placement strategies and modalities,8613
process activity,Professional,Insert operation in WL and activate crossing procedure,13202
process activity,Professional,Negotiate Confidentiality Agreement (NDA),15246
process activity,Professional,Carry out pre-marketing and walkthrough process and integrate WL,3157
process activity,Professional,Prepare the mandate draft or give feedback on the draft received from the customer,16901
process activity,Professional,Start activities for the structuring and placement of a real estate fund,22705
process activity,Professional,Manage interaction with potential investors and order collection,14374
process activity,Professional,Evaluate mandate proposal,10283
process activity,Professional,Finalize background structure,11367
process activity,Professional,Carry out fund structuring,3053
process activity,Professional,Identify potential Sponsors,12386
process activity,Operational,Submit Confidentiality Agreement (NDA) to customer,22955
process activity,Professional,Collaborate for the purpose of defining the placement price and allocation of the shares,6562
control activity,Other,Verify that the IB&SF manager has obtained the consent to the application of the commission not in line with the DCM Commission Tables.,25638
process activity,Professional,Insert operation in the Watch List,13203
process activity,Professional,Prepare marketing documentation,16527
process activity,Professional,Contact potential investors and arrange meetings,8133
process activity,Professional,Check for specific collateral agreement on the deal,4569
process activity,Professional,Evaluate need,10294
process activity,Professional,Extract the scenarios from the application,11072
control activity,Other,Analyze the anomalies found in the risk analysis,1391
process activity,Professional,Request Deal modification,19990
process activity,Professional,Process the data production of the SWWR without legal binding,17507
process activity,Professional,Receive product Term Sheets,18929
process activity,Professional,Check credit spread association and counterparties,4304
process activity,Professional,Check Mark to Market compliance,4092
process activity,Professional,Present the results obtained,17109
process activity,Professional,Check if the OTC Derivative has already known characteristics,4694
process activity,Professional,Define the extent of Add-Ons and provide functional requirements for updating systems,8707
process activity,Professional,Confirm production release of updates,7839
process activity,Professional,Estimate the add-on,10141
control activity,Other,Verify consistency of the add-on calculation with respect to the standard methodology,25131
process activity,Professional,Apply pay-off scenarios,1696
process activity,Professional,Analyze the results,1609
process activity,Professional,Generate scenarios,11984
process activity,Professional,Report the update of the Add On Grids,19949
process activity,Professional,Process the production of GWWR data and reports,17523
process activity,Professional,Notify the Front Office structures of any impacts deriving from the changes made,15384
process activity,Professional,Update credit spread and counterparty association,24158
process activity,Professional,Publish update on company intranet,18286
process activity,Professional,Make any necessary adjustments/updates,13853
process activity,Professional,Enter the pay-off of the derivative into the system,9999
process activity,Professional,Update drivers,24173
process activity,Professional,Fix the PFE anomalies found,11468
process activity,Professional,Carry out the reworking of IT procedures,3800
process activity,Professional,"Identify ""authorized"" Provisional Payoffs to be carried forward",12232
process activity,Professional,Verify model parameters of SWWR,25436
process activity,Professional,Verify the flows produced containing the risk measures and launch the production of reports,26965
process activity,Professional,Validate processing,24683
process activity,Professional,Prepare and present the results obtained,16225
process activity,Professional,Release the new grid for publishing,19680
process activity,Professional,Publish updates on the company intranet,18287
process activity,Professional,Turn on auto-send grid,24066
process activity,Professional,Define the perimeter of the counterparties,8766
process activity,Professional,Check the measurements produced,5898
process activity,Professional,Check and analyze the elaborations and the results obtained,4146
control activity,Other,Check the alert mails and daily logs generated by the system during the calculation process,5123
process activity,Professional,Check Credit Spread and Counterparty association,4076
process activity,Professional,Communicate release planning.,6968
process activity,Professional,Report task completion,19846
process activity,Professional,Check the new measures produced,5921
process activity,Professional,Modify the deal,14858
process activity,Professional,Analyze the reports produced and request any corrective actions,1582
control activity,Other,Analyze PFE measurement reports,1195
process activity,Professional,Report the need for deal correction,19906
process activity,Professional,Evaluate the type of product,10735
process activity,Professional,Activate the application change process,848
process activity,Professional,Communicate analysis results for entering data into systems,6787
process activity,Operational,Submit the list of disbursement requests,23358
process activity,Professional,Prepare the settlement agreement,17019
process activity,Operational,Register the appeal in the different systems,19561
process activity,Operational,Attach the text of the decision in case of an appeal accepted by the ABF / ACF,2251
process activity,Professional,Prepare and communicate the counterclaims for the ABF / ACF,16200
process activity,Professional,Prepare the memorandum for the authorization of the transaction.,16904
process activity,Operational,Receive replies and forward them for the system census,18945
process activity,Professional,Prepare the negotiation with the customer,16924
control activity,Other,Verify the correct accounting of the PAV,26142
process activity,Operational,Submit the disbursement request,23292
process activity,Operational,Attach the text of the decision in the event of an appeal not accepted by the ABF / ACF or declared inadmissible / inadmissible,2252
process activity,Professional,Prepare the disbursement letter.,16782
process activity,Operational,Communicate the disbursement to the manager,7171
process activity,Operational,Prepare disbursement letter,16421
process activity,Professional,Prepare and send the communication for the ABF / ACF,16299
control activity,Other,Verify the correctness of accounting and management of the PAV,26567
process activity,Professional,Manage any replicas,14239
process activity,Professional,File the counterclaims / deductions,11156
process activity,Professional,Perform an Appeal Examination (ABF/ACF) and assign the practice,15822
process activity,Operational,Grant mandate to the Conciliator in the ACF area,12044
process activity,Professional,"Process the data received, determine the amount of debit/credit withholdings and prepare the Financial Regulation",17511
control activity,Other,Verify the correct and complete compilation of the worksheets,26195
control activity,Other,Verify the correct determination of the amount of withholding taxes to be paid or credited,26311
process activity,Operational,Send payment instructions,21678
process activity,Operational,Request the data necessary for the definition of withholding tax payments,20534
process activity,Operational,Arrange for the payment of withholding taxes,1969
control activity,Other,Verify the payment of withholding taxes,27084
control activity,Other,Ensure correct and timely payment to the treasury,9569
process activity,Operational,Contact the Front Office,8149
process activity,Operational,Contact the Counterparty,8140
process activity,Operational,Check the type of discrepancy,6287
process activity,Operational,Receive discrepancy reporting emails,18723
process activity,Operational,Resend confirmation to the other party,20807
process activity,Operational,Make correction,13892
control activity,Operational,Verify proper verification imputation,25503
process activity,Operational,Communicate the early repayment of the loan,7175
process activity,Operational,Update the evidence in the procedure and archive the documentation,24329
process activity,Professional,Identify the changes that have occurred on the guarantee,12469
process activity,Professional,Evaluate the possibility of taking over by any entitled heirs,10612
process activity,Operational,Contact any heirs,8125
process activity,Operational,Take charge of the request and carry out an initial analysis,23795
process activity,Operational,Upload your request to Help4U,24621
process activity,Operational,Send the final evaluation,22086
process activity,Operational,Report the need for a new license,19905
process activity,Operational,Indicate the need to request authorization for the process step,12951
process activity,Operational,Indicate the need to make a change,12948
process activity,Operational,Report the need for a change to your permissions,19904
process activity,Professional,Request clarifications in relation to the regulatory breach,20210
process activity,Operational,Proceed with archiving,17326
process activity,Professional,Manage 1st level control in relation to operations,14110
process activity,Professional,Carry out conformity assessment,2971
process activity,Professional,Communicate exhaustiveness of the feedback received,6892
process activity,Operational,Prepare reports for the Volcker Rule Technical Table (physical or virtual),16600
process activity,Professional,Carry out preliminary analysis on the quality of data functional to monitoring,3168
control activity,Other,Carry out Volcker Rule monitoring and carry out a II level check,2751
process activity,Professional,Manage escalations and communicate the outcome of the procedure,14349
process activity,Professional,Start the escalation procedure,22843
process activity,Professional,Communicate the positive outcome of the evaluation and management of the escalation process for TOTUS controls,7353
process activity,Professional,Communicate negative outcome of the evaluation,6929
process activity,Operational,Make the regulations,14059
process activity,Operational,Investigate anomalies and fix errors,13382
control activity,Operational,Verify the correct arrangement of the anomalies,26231
process activity,Operational,Ensure inclusion of subject or fees,9572
process activity,Operational,Acquire authorization,488
process activity,Operational,Acquire self-declaration,570
process activity,Operational,Request the sending of invoices accompanied by specific documentation,20695
process activity,Operational,Carry out the assignment of the assignment,3427
process activity,Operational,Carry out the remuneration payment report,3777
control activity,Other,Verify fulfillment execution,25394
process activity,Operational,Manage payment of invoices/notes,14420
process activity,Operational,Send a copy of the self-declaration to the payment institution,21275
process activity,Professional,Aggregate the data of the individual companies and calculate the consolidated IRES relating to the previous tax period,1091
process activity,Operational,Notify the Companies of the sending of the Consolidated Statement,15355
process activity,Operational,Send the declaration electronically,21996
control activity,Other,Verify the absence of anomalies and rejects in the electronic transmission,25824
process activity,Professional,Draw up the consolidated declaration on the Ministerial Model,9423
control activity,Other,Verify the correct and complete compilation of the Ministerial Model,26190
control activity,Other,Verify the formal correctness of the Ministerial Model and the absence of blocking errors on the diagnostic,26972
process activity,Professional,Arrange for accounting with the tax authorities and companies adhering to tax consolidation,1955
process activity,Operational,Request the data necessary for the consolidated declaration,20532
process activity,Operational,File the documentation of the recovery of the cashier's check,11163
process activity,Operational,Proceed to pay the check,17298
process activity,Operational,Download the block and acquire approval for the check payment,9363
process activity,Operational,Withdraw the statement of discovery of the cashier's check,27446
process activity,Professional,Verify ctp adherence to ISDA Novation Protocol II,25307
process activity,Operational,Prepare the declaration of expenses incurred,16776
process activity,Operational,"Upload the data of the contract, the mortgage and the insurance company for non-subsidised mortgages into the system",24535
process activity,Operational,Prepare documentation for the stipulation for the Notary and for the Branch,16438
process activity,Operational,Prepare and send the documentation for subsidized mortgages to the Region,16305
control activity,Other,Check documentation sent to the Region,4364
process activity,Professional,Acquire and finalize any surety guarantees,459
process activity,Operational,Have the Customer sign the declaration relating to the expenses incurred.,12131
process activity,Operational,Communicate the details of the loan stipulated,7164
process activity,Operational,Credit the amount to the customer,8467
control activity,Other,Oversee system reporting,15659
process activity,Operational,Acquire the documentation of the stipulation,619
process activity,Operational,"Consult the resolution notes, check the conditions for completing the procedure and, if so, deliver the binding offer",8110
control activity,Other,Verify the data of the appraisal and the costs incurred,26862
process activity,Operational,Make/give instructions to make disbursements to S.A.L.,14100
process activity,Operational,Inform the customer of the subrogation invoices received,13084
process activity,Operational,Load the data of the contract and of the insurance company for non-subsidized mortgages into the system,13692
process activity,Operational,Credit or set aside the sum,8464
process activity,Commercial,Stipulate the final contract,22929
process activity,Operational,Communicate the details of the loan (only for non-subsidised) stipulated,7163
process activity,Commercial,Prepare the disbursement of the loan,16784
process activity,Operational,"In case of subrogation, print the form relating to the portability procedure",12878
process activity,Operational,Send the draft of the final loan agreement to the Branch and to the Notary,22063
process activity,Operational,Assign the expert for disbursements to S.A.L.,2178
control activity,Other,Verify the formal completeness of the documentation for subsidized mortgages,26969
control activity,Other,Verify the formal completeness of the documentation for non-subsidised mortgages,26968
process activity,Operational,"Manage the costs of the appraisal, acquire any data from the policy estimate if required, collect the information to determine the Global Effective Rate and request any derogation",14544
process activity,Operational,"Place the sum, set aside on the processing account, available to the customer for mortgages with deferred release.",16059
control activity,Other,Verify the correctness of making the sum available to the customer for Mortgages with deferred release,26571
control activity,Other,Check the correct acquisition/loading of the guarantee in the procedure,5433
process activity,Professional,Acquire fire and explosion policy for the mortgaged property,528
process activity,Operational,Prepare the documentation for the signing of the final contract,16801
process activity,Operational,Manage the invoices received from the Notary in case of subrogation,14616
process activity,Operational,Instruct to credit the sum to the customer for Mortgages with deferred release.,13290
process activity,Operational,Activate the portability procedure and check the invoices received,925
process activity,Professional,Carry out the legal investigation,3602
process activity,Professional,Acquire fire and explosion policy on a mortgaged property,529
process activity,Operational,Prepare the disbursement of the loan,16784
process activity,Professional,Authorize and forward for payment the invoices received in case of subrogation,2290
process activity,Commercial,Provide the Client with the ex-ante disclosure required by the SIC Code of Conduct,18122
process activity,Operational,Enter the customer data,9835
process activity,Operational,Start the disposition phase,22838
process activity,Commercial,Submit and have the Customer sign the Credit Grant Request,23022
process activity,Commercial,Submit the documentation,23294
process activity,Commercial,Manage the request received,14694
process activity,Commercial,Formalize the request with the customer,11618
process activity,Commercial,Fill out the authorization form,11338
process activity,Operational,Absorb foreign banknotes,200
process activity,Operational,Absorb the cash present in the equipment,201
process activity,Operational,Absorb blank values,199
process activity,Operational,Open the workstation,15600
process activity,Operational,Absorb the values by operator's hand,202
process activity,Operational,Check the type of equipment connected to the cash desk,6289
process activity,Operational,Handle any cash differences,12063
process activity,Professional,Report locations,19805
process activity,Professional,Check for the presence of prejudicial events and negative symptoms,4620
process activity,Professional,Analyze the position and make the proposal,1551
control activity,Other,Check the list of unworked items,5876
process activity,Professional,Solicit evaluation,22657
process activity,Professional,Analyze the proposal and manage the event,1563
process activity,Professional,Analyze the evidence found,1481
process activity,Professional,Classify as Impaired Credit,6436
process activity,Professional,Deactivate the prejudicial event,8493
process activity,Professional,Check the anomalies found,5145
process activity,Operational,Enter the prejudicial event or negative symptom detected in the application,10003
control activity,Other,Verify the correctness of the assumptions for uploading the prejudicial event or negative symptom,26615
process activity,Operational,Communicate the list of selected positions,7233
process activity,Operational,"Put the position in the status ""PM""",18302
process activity,Operational,"Enter positions in ""PM"" status",9726
process activity,Professional,Assess the need/opportunity to classify as non-performing credit,2127
process activity,Professional,Monitor customers,14941
process activity,Professional,"Submit request/make classification in ""Proactive Management"" status",23169
process activity,Professional,"In case of subrogation, identify the notary and request the cost estimate",12876
process activity,Professional,"Verify and modify, if necessary, the commitments deduced from the procedure",24946
process activity,Professional,Collect signatures on the loan application and accompanying documentation,6650
process activity,Professional,Carry out anti-money laundering obligations,2870
process activity,Professional,"Check the data relating to the meta-account and, if necessary, request the data of any current accounts of other banks",5676
process activity,Professional,Complete the entry of the information relating to the Application,7643
process activity,Professional,Start the loan application and integrate the commercial offer data,22860
control activity,Other,Verify the consistency of the data,26086
process activity,Professional,"Start the calculation of the potential credit rating, the routing matrix and complete the loan application",22812
process activity,Professional,"Acquire the documentation accompanying the practice and activate, in the foreseen cases, the automatic calculation of income",613
control activity,Other,Verify the consistency of the socio-income data,26114
process activity,Professional,Fill in the section dedicated to policies and issue a policy quote,11300
process activity,Professional,Analyze intercepted positions,1306
process activity,Professional,Formalize a strategy,11562
process activity,Operational,Contact customer,8126
process activity,Operational,"Open proposal for classification as ""Probable Default or Bad""",15553
process activity,Operational,Carry out document verification,3006
process activity,Operational,Analyze location lists,1309
process activity,Operational,Consult new entry lists,8087
process activity,Professional,Gather documentation and arrange for archiving,11892
process activity,Professional,Verify implementation or feasibility of security measures,25410
control activity,Other,Annually evaluate the security measures adopted in relation to the evolution of threats,1671
process activity,Professional,Carry out the legitimate interest balancing test,3604
process activity,Professional,Finalize the report and update the PIA Report repository,11423
process activity,Professional,Proceed with the calculation of the residual risk,17370
process activity,Professional,Evaluate whether to carry out a prior consultation with the Supervisory Authority or interrupt the treatment in the event of a high residual risk,10766
process activity,Professional,Start the Privacy Impact Assessment (PIA) process,22792
process activity,Professional,Make the consultation request to the Supervisory Authority and submit the PIA Report,14002
process activity,Professional,Provide for review of high-risk treatments,17953
control activity,Other,Carry out a periodic review of high-risk treatments,2774
process activity,Professional,Evaluate the characteristics of the treatment,10390
process activity,Professional,Evaluate the purpose limitation and the legal basis of the processing,10648
process activity,Professional,Gather information about the new treatment and involve the Data Protection Officer,11899
process activity,Professional,Conclude the assessment of the legitimacy of the treatment,7719
process activity,Professional,Verify that the data processing is relevant for privacy purposes,25692
process activity,Commercial,Retrieve the copy of the contract,20887
process activity,Commercial,Produce the necessary documentation,17692
process activity,Operational,Request the return of the material,20691
process activity,Operational,Update logs,24195
process activity,Operational,Respond to the request,20844
process activity,Operational,Express your opinion on the stipulation of the agreement,10953
process activity,Operational,Transmit the answer to the foreign bank,23972
process activity,Operational,Receive any feedback from the foreign bank,18569
process activity,Operational,Revoke the domiciliation agreement,21044
process activity,Operational,Request updating of the list of agreements published on the Company Intranet,20755
process activity,Operational,Analyze the request to identify the type of operation,1600
process activity,Operational,Receive a request from the counterparty relating to a domiciliation agreement,18459
process activity,Operational,Evaluate the foreign bank involved,10486
process activity,Operational,Manage agreement revocation,14175
process activity,Operational,Receive a request for the existence of a domiciliation agreement with a foreign bank from a counterparty,18453
process activity,Operational,Analyze and identify foreign banks for a possible domiciliation agreement,1223
process activity,Operational,Receive enforcement requests from a counterparty,18749
process activity,Operational,Submit the cancellation request,23251
process activity,Operational,Respond to the other party,20842
process activity,Operational,Receive from the foreign bank the proposal to perform the role of domiciliary bank at the Italian Customs Agency,18789
process activity,Operational,Transmit the settlement proposal to the foreign bank,24032
process activity,Operational,Receive acceptance of the proposal from the foreign bank,18470
process activity,Operational,Publish the new version of the Summary or Owner,18266
process activity,Operational,Request modification/integration of the Summary or of the Holder,20325
process activity,Operational,Update the Master or Owner,24272
process activity,Operational,Evaluate the data related to the request,10433
process activity,Professional,Label the Intended Use and Relevance,13570
process activity,Professional,Attribute/Maintain Data Relevance,2276
process activity,Professional,Define the Intended Use and create the related label,8640
process activity,Professional,Identify and label the perimeter of the Key Business Terms,12275
process activity,Professional,Upload the Intended Use and Relevance,24513
control activity,Other,Check the correct and complete labeling and subsequent uploading of the Intended Use and Relevance of the Data,5444
process activity,Professional,Load the Logical Horizontal Data Lineage,13678
control activity,Other,Check the correct and complete census of the Logical Horizontal Data Lineage,5435
process activity,Professional,Publish Business Terms on the Data Dictionary,18214
process activity,Professional,View Key Data and consolidate input for the Dictionary,27336
process activity,Professional,Load the Vertical Data Lineage,13680
control activity,Other,Check the correct and complete census of the Vertical Data Lineage,5438
process activity,Professional,Carry out a census of the functional characteristics of the Data Domain,2755
process activity,Professional,Survey the Logical Horizontal Data Lineage,23629
process activity,Professional,Maintain / update the technical characteristics of the Data Domain,13771
process activity,Professional,Dictionize the Technical Assets,9272
process activity,Professional,Identify and label the key data perimeter,12274
process activity,Professional,Load the Physical Horizontal Data Lineage,13679
control activity,Other,Check the correct and complete census of the Physical Horizontal Data Lineage,5436
process activity,Professional,Maintain / Update Metadata,13768
process activity,Professional,Dictionize Business Terms,9271
process activity,Professional,Dictionize usage requirements,9274
process activity,Professional,Upload the labeling of the Key Data Elements,24574
control activity,Other,Check the correct labeling of the Key Data Elements,5480
process activity,Professional,Approve the Terms of Business,1743
process activity,Professional,Survey the Physical Horizontal Data Lineage,23631
process activity,Professional,Maintain / update the functional characteristics of the Data Domain,13770
process activity,Professional,Upload the Technical Assets,24517
control activity,Other,Check the correct and complete census of the Technical Assets,5437
process activity,Professional,Carry out a census of the technical characteristics of the Data Domain,2756
process activity,Professional,Upload the Terms of Business,24518
control activity,Other,Check the correct and complete dictionarization of the Business Terms,5439
process activity,Professional,Demonstrate the need to create a new Intended Use,9001
process activity,Professional,Identify the technical assets and possibly the Business Terms to which to attribute the Intended Use,12636
process activity,Professional,Census the Vertical Data Lineage,3901
process activity,Professional,Maintain / Update the Key Data Elements perimeter,13769
process activity,Operational,Prepare the file and publish the notice relating to the operation,16838
control activity,Operational,Perform sampling checks for shipping notices,15947
process activity,Operational,Centrally administer public offering activities,3906
process activity,Operational,Calculate the quantity of shares to be requested from individual customers,2606
process activity,Operational,Set final processing,22407
process activity,Operational,"Check for unexecuted positions, restore if necessary, and close the operation",4644
process activity,Operational,Send request flows for free shares,21740
process activity,Operational,Retrieve the documentation related to the operation,20891
process activity,Operational,Carry out the inquiry and give the instructions,3583
process activity,Operational,"Request a code change, statistics and archive the practice",20025
process activity,Operational,Request the extraction of subscription orders complete with personal data,20562
process activity,Operational,Clear the accounting entries and close the operation,6452
process activity,Operational,Equate the accounting entries with those relating to debits on subscribers' current accounts and enter the commissions collected,10113
control activity,Operational,Carry out sampling checks on shipping notices,3227
process activity,Operational,"Receive the operational notes of the operation, prepare the procedure for the free capital increase and publish the news of the operation",19175
control activity,Operational,Carry out random checks on shipping notices,3202
process activity,Operational,Carry out the management activities of the Offer,3607
process activity,Operational,"Receive the documentation, the assignment letter and prepare the file",19118
process activity,Operational,Carry out the inquiry and report the subscriptions entered in the system,3584
process activity,Operational,Modify some parameters of the OPA code,14846
process activity,Operational,Update deposits and verify order accounting,24168
process activity,Operational,Summarize the countervalues to be paid and the commissions to be collected,23488
process activity,Operational,Check the reports,6097
process activity,Operational,Verify the correspondence of the shares assigned with the amount credited to the customer's deposits and update the deposits of the Group Banks,26838
process activity,Operational,Prepare the response also with any supplementary documentation,17012
process activity,Operational,Receive and analyze the request,18504
process activity,Operational,Send the reply electronically to the requesting Authority and check the outcome,22250
process activity,Operational,Activate searches,793
process activity,Operational,Prepare the response and send it to the requesting Authority/Client.,17014
control activity,Other,Verify the correctness of the response to be sent to the requesting Authority.,26786
process activity,Operational,Accept the provision and address it to the competent Banking Verification Office,224
process activity,Operational,Send the response to the Tax Authority,22311
process activity,Operational,Activate specific searches,796
process activity,Operational,Receive and register the request and activate the specific searches,18545
process activity,Operational,"Forward, if requested by the customer, a copy of the documentation",11800
process activity,Operational,Attach documentation,2246
process activity,Operational,Receive and verify the request,18562
process activity,Operational,"Manage a tax provision, notified in paper or electronic form.",14160
process activity,Operational,Collect ticket from customer,6739
process activity,Operational,Make ticket payment,14092
process activity,Operational,Print receipt and hand it to the customer,17189
process activity,Professional,Supplement the contributions arrears reports,23564
process activity,Operational,Take charge of the contributions arrears reports,23754
process activity,Operational,Collect and account for the arrears of paid contributions or proceed with the transfer to loss,6570
process activity,Professional,Take formal actions towards the Client,23823
process activity,Professional,Prepare the contributions arrears reports,16757
process activity,Operational,Start managing and monitoring contribution arrears,22746
process activity,Operational,Analyze positions with contributions in arrears due to defaults by the beneficiary,1323
process activity,Operational,Monitor the progress of formal actions towards the Client,15146
process activity,Operational,Formalize any action against the institution,11572
process activity,Professional,Analyze the contributions in arrears at the institution,1432
process activity,Operational,Monitor the progress of the actions taken,15151
process activity,Professional,Evaluate and communicate any provisions for risks,10184
control activity,Other,Verify conditions for accrual to risk funds,25095
process activity,Professional,Manage encroachments and any blocks,14346
process activity,Professional,Evaluate implementation methods in the Branch or to be forwarded to the Central Structure,10270
process activity,Operational,Forward multiple transfers to the external Service through Document Management,11695
process activity,Professional,Withdraw the cash,27434
process activity,Professional,Acquire the transfer order and identify the customer,684
process activity,Professional,Check the powers of signature and deliver the acceptance receipt to the customer,5993
process activity,Professional,Check request for execution of Multiple Transfer,4874
process activity,Operational,Forward single transfers to the external Service through Document management,11700
process activity,Operational,Process the provisions received,17528
process activity,Operational,Work the provisions received,27459
process activity,Professional,Manage any overdrafts and transactions to be validated,14225
process activity,Professional,Manage any operations to validate,14223
process activity,Professional,Manage overruns or blocking evidence,14413
process activity,Operational,Activate due dates for payments in the future,755
process activity,Professional,Examine the customer's layout,10817
process activity,Operational,Execute CIB/CLB and F.I customer disposition,10869
process activity,Operational,Take over the processing,23828
process activity,Professional,Give the customer the accounting document - if required,12033
process activity,Operational,Validate the sending of the payment,24782
process activity,Professional,Send magnetic support to the Structure in charge,21618
process activity,Operational,Manage validation for above-threshold operations,14762
process activity,Professional,Manage encroachments and blocks,14347
process activity,Professional,"If requested by the customer, deliver the receipt",12766
process activity,Operational,Upload the provisions received in the procedure,24585
process activity,Professional,Activate due dates for payments in the future,755
process activity,Professional,Manage any encroachments or blocking evidence,14213
process activity,Professional,Trigger the escalation process based on the thresholds,24059
control activity,Other,Evaluate threshold crossing,10743
process activity,Professional,Start <hard limit> actions,22695
process activity,Professional,Submit the interventions carried out,23351
process activity,Professional,Submit Report to the Supervisory Authority,22972
process activity,Professional,Send information to the reference Management Committee of the <soft limit> indicator (orange area),21576
control activity,Other,Verify the completeness and correctness of the information to the reference Management Committee of the <soft limit> indicator (orange area),25977
process activity,Professional,Send information to the reference Management Committee of the indicator <below threshold> (green area),21577
process activity,Professional,View the information on exceeding the <soft limit> thresholds (orange area) and the actions taken or planned,27366
process activity,Professional,Address any actions,999
process activity,Professional,Analyze the Report and send a list of counterparties to be analysed,1380
process activity,Professional,Prepare the report to be sent to the Supervisory Authority within the established deadlines,16994
process activity,Professional,Prepare the report to be sent to the Supervisory Authority,16993
process activity,Professional,Read the information on compliance with the thresholds,18370
process activity,Professional,Define and communicate intervention actions <hard limit> (red area),8553
control activity,Other,Verify the completeness and correctness of the information to the reference Management Committee of the intervention actions <hard limit> (red area),25978
process activity,Professional,Prepare the documentation to be sent to the Supervisory Authority,16812
control activity,Other,Check the documentation to be sent,5745
process activity,Professional,Calculate the indicators and prepare the annual report,2593
control activity,Other,Verify the calculation of the indicators and the Annual Report,25909
process activity,Professional,Send feedback on the Model Assessment Report to the supervisory authority,21529
process activity,Professional,Support the inspection of the Supervisory Authority,23590
process activity,Professional,Coordinate the progress of the inspection visit with the representatives of the various structures involved,8302
process activity,Professional,Share the Final Decision and any corrective measures reporting with the structures,22489
process activity,Professional,Periodically update the progress of remediation activities,16042
process activity,Professional,Present the Draft decision to the Models Committee,17086
process activity,Professional,Coordinate the preparation of the kick-off meeting of the inspection process,8299
process activity,Professional,Share the Model Assessment Report and collect feedback from facilities,22493
process activity,Professional,Receive authorization provision (Draft decision),18587
process activity,Professional,Share the Draft decision to the structures,22487
process activity,Professional,"Send the information note, the Remediation Plan and the related attachments to the Supervisory Authority",22120
process activity,Professional,Prepare an information note relating to the receipt of the Final decision,16194
process activity,Professional,Gather any observations on what is reported in the Draft Decision,11887
process activity,Professional,Organize and carry out the exit meeting with the Supervisory Authority,15620
process activity,Professional,Receive Model Assessment Report,18412
process activity,Professional,Receive the final version of the Model Assessment Report,19137
process activity,Professional,Present the Remediation Plan to the Models Committee,17089
process activity,Professional,Receive confirmation from the Supervisory Authority regarding the fulfillment of the obligations/recommendations/limitations/conditions reported by the Bank as completed,18659
process activity,Professional,Receive the definitive authorization measure (Final decision) and possible notification of corrective measures,19100
process activity,Professional,Carry out kick-off meetings with the Supervisory Authority,3092
process activity,Professional,Identify the support structures for the resolution of the obligation/recommendation and send the request for contributions to the Working Group for the preparation of the Remediation Plan,12634
process activity,Professional,Send to the Supervisory Authority any comments on what is reported in the Draft Decision,22373
process activity,Professional,Collect contributions and prepare the definitive version of the Remediation Plan,6600
process activity,Professional,Consolidate manual input data,8043
process activity,Professional,Carry out scheduled tests,3229
process activity,Professional,Update the information needed for the Tests,24338
control activity,Other,Check the correctness of the database sent,5554
process activity,Professional,Calculate the present value of the Cover Pool,2605
process activity,Professional,Complete and submit the Hedging Data Sheet,7567
process activity,Professional,"Calculate the present value of Bonds, Derivatives and Costs",2604
control activity,Other,Check calculation on present value,4213
process activity,Professional,Carry out checks on existing transactions,2937
control activity,Other,Check annual report data for accruals,4181
process activity,Professional,Prepare Servicer Report,16166
control activity,Other,Carry out checks for the purpose of certifying the Servicer Report,2922
process activity,Professional,Prepare processing to verify the suitability of assets transferred to ISP CB Pubblico,16568
control activity,Other,Check suitability calculation,4911
process activity,Operational,Provide for the monthly extraction of the analytical data of the transferred portfolio,18003
process activity,Professional,Receive data from systems,18708
process activity,Operational,Upload the file to the Securities Datasheet section of the Servicer Report,24560
control activity,Other,Verify the correct completion of the data load relating to the securities,26282
process activity,Operational,Send database for external controls,21452
process activity,Operational,Submit Hedging Sheet,22962
process activity,Professional,Carry out internal tests on the emission program,3082
process activity,Operational,Send functional data for the execution of regulatory tests,21553
process activity,Professional,Send the file containing the nodes of the curves,22076
